SBC-SORT-03	KEEP	Missing-value placement in both sort directions.			SENSIBLE	Two steps; the precondition tells the tester how to get an em-dash row.	Y	OK	
SBC-SORT-04	KEEP	Date sort orders customers by their most recent invoice - a non-obvious semantic that would be easy to implement wrongly.			SENSIBLE	Step 2 has the tester expand to confirm the underlying dates.	Y	OK	
SBC-TREE-01	KEEP	One summary row per customer with a filter-sensitive invoice count - the count-is-not-lifetime assertion is the valuable half.			FIX-WORDING	Expected 3 asserts colour #616161 at font-weight 600 and the note says to check it with dev tools. PV-VIS-02 and SBC-EXP-08 were already repaired to remove exactly this class of unmeasurable assertion; this case was missed. Apply the same repair.	Y	TOOL	Expected 3 needs dev tools for colour and font weight.
SBC-TREE-02	WEAK-KEEP	No zero-value placeholder rows; a thin negative, but row-padding bugs do happen.			SENSIBLE	Two steps.	Y	OK	
SBC-TREE-03	KEEP	Asset-row reveal, its anatomy, and the independence of every chevron - seven distinct assertions in one sitting.			SENSIBLE	Three steps drive expansion, cross-customer independence and collapse.	Y	OK	
SBC-TREE-04	KEEP	Invoice-row reveal, its full column set and the body date format.			SENSIBLE	Two steps.	Y	OK	
SBC-TREE-05	KEEP	Grouping by vehicle record plus the legacy no-vehicle-id snapshot path - a real data-integrity contract.			SENSIBLE	The legacy path is honestly hedged as possibly dev-seeded.	Y	OK	
SBC-TREE-06	KEEP	Asset ordering, the Parts Sales bucket always last, and independence from the column sort.			SENSIBLE	Step 2 drives the sort-independence half.	Y	OK	Needs a no-vehicle invoice; none existed on this org.
SBC-TREE-08	KEEP	Expand-all/collapse-all including its verbatim tooltips and the page-scoped boundary.			SENSIBLE	Three steps covering both states.	Y	OK	
SBC-TREE-09	KEEP	Which changes collapse the tree and which do not - prevents a common false bug report.			SENSIBLE	Three steps; the typing-versus-refetch distinction is the point.	Y	OK	
SBC-TREE-10	WEAK-KEEP	Single-invoice expansion and a parts-only customer; both edges are largely covered by SBC-TREE-04 and SBC-TREE-06.			SENSIBLE	Two steps.	Y	OK	
SBC-TREE-11	WEAK-KEEP	The deliberate no-vehicle service-invoice edge; a real spec edge (S8-E3) but rare and currently unproducible.			SENSIBLE	The note tells the tester to record the seeding path tried.	Y	OK	
SBC-TREE-12	KEEP	Reversed and voided invoices excluded from rows, counts AND totals - money integrity, and the strongest case in this area.			SENSIBLE	Before/after comparison across four steps.	Y	OK	
SBC-TREE-13	KEEP	Column parity across all four row types and the blank-cell positional integrity (no value drifting into the wrong column).			FIX-WORDING	Expected 4 asserts font-weight 600/700 and step 3 says to use dev tools - the same unmeasurable class already repaired on PV-VIS-02 and SBC-EXP-08. Apply the same repair, keeping the column-parity assertions untouched.	Y	TOOL	Expected 4 needs dev tools.
SBC-TYPE-02	KEEP	Product Type option list, prefix-based filtering both ways, and the whole-invoice classification rule that prevents a false bug report.			SENSIBLE	Closed three-option list version-pinned to SBC v13 S3-R2 - Rule 42 satisfied.	Y	OK	
SBC-VIS-01	WEAK-KEEP	Page and toolbar visual conformance; cosmetic and design-token owned.			FIX-WORDING	The heaviest un-repaired pixel case in the suite: expected 2/4/5/6 assert 32px, 24px, 2rem, 1px and 24px values and step 1 says to inspect with dev tools. PV-VIS-02 (C30386) was repaired to a by-eye check naming design and engineering as the owner of the figures; this case was left as-is. Apply the same repair.	Y	TOOL	Requires dev tools for five separate measurements.
SBC-VIS-02	WEAK-KEEP	Row-surface striping by tree level; cosmetic, though it did find a real conformance gap.			SENSIBLE	Three steps.	Y	TOOL	Backgrounds by hex value need dev tools.
SBC-VIS-03	KEEP	Dark-mode conformance plus the PDF-always-light contract; it found a genuine unreadable-text defect.			SENSIBLE	Two steps.	Y	OK	
SBR-API-01	KEEP	Lazy per-rep drill-down plus per-rep detail pagination - a real scale contract.			SENSIBLE	Three steps.	Y	TECHNICAL	Network panel; API section.
SBR-API-02	KEEP	Server-side sort returning the first page already ordered.			SENSIBLE	Two steps.	Y	TECHNICAL	Network panel; API section.
SBR-API-03	KEEP	Grand totals computed server-side over the full filtered set, independent of what is expanded - a money contract.			SENSIBLE	Step 2 cross-checks against the Summary CSV.	Y	TECHNICAL	Network panel; API section.
SBR-API-04	KEEP	All four exports server-generated against the active filters and sort, plus the never-a-partial-file guarantee.			SENSIBLE	Three steps; the failure step is hedged "if forceable".	Y	TECHNICAL	Network panel; API section.
SBR-API-05	KEEP	The cap must refuse BEFORE generation - the distinction that separates a polite refusal from a timeout, which the build fails.			SENSIBLE	Two steps; the precondition says to mark Blocked with a reason if the cap is unreachable.	Y	TECHNICAL	Network panel; API section.
SBR-API-06	KEEP	The deactivation pre-check runs first, returns the count, and commits nothing - a destructive-action safety contract.			SENSIBLE	Three steps ending in Cancel so nothing is committed.	Y	TECHNICAL	Network panel; API section. Blocked by the invoices/create HTTP 500 defect, not by an external dependency.
SBR-ASGN-01	KEEP	The Assignments export entry point, the hidden date picker and the verbatim dialog note.			SENSIBLE	Three steps; expected 4 tells the tester how to handle the pending rename.	Y	OK	
SBR-ASGN-02	KEEP	Assignments CSV file name, toast, UTF-8 BOM and its three closed headers.			FIX-WORDING	Expected 1 puts the hedge INSIDE the quoted file name: 'downloads as "sales-representative-assignments.csv (the short form "rep" is gone from the file name - confirm the exact final file name in the build)"'. A cold tester cannot tell what the file name is meant to be. Move the parenthetical out of the quotes.	Y	OK	
SBR-ASGN-03	KEEP	One row per assigned customer, no-rep customers excluded, and the two-key sort.			SENSIBLE	Four steps.	Y	OK	
SBR-ASGN-04	KEEP	"Rep is active?" tracks staff-active status and NOT the sales-rep toggle - two independent flags, a genuine bug magnet.			SENSIBLE	The precondition arranges both crossed states explicitly and says to restore them.	Y	OK	
SBR-ASGN-05	KEEP	A deleted rep still exports from the stored name, plus the name-drift integrity rule.			SENSIBLE	Three steps.	Y	OK	
SBR-ASGN-06	KEEP	Empty-export and generation-failure messages for this dialog, which deliberately differ from the suite's standard toasts.			SENSIBLE	The failure step is hedged with what to do if it is not forceable.	Y	OK	
