SBR-VIS-03	KEEP	Five verbatim accessible names on icon-only controls - an accessibility contract with concrete strings.			SENSIBLE	Two steps.	Y	TOOL	Needs a screen reader or accessibility inspector. LEDGER FLAG: the VIU recorded PASS while its own observation lists different names ("Export report" vs the specified "Report actions"; "Column Selection" vs "Show or hide columns"; "Expand all representatives" vs "Expand all reps") - at least three of five differ, so this is a DEVIATION, not a pass.
SBR-VIS-04	KEEP	Keyboard operability and state exposure for chevrons and sortable headers - it found a real accessibility gap (no aria-expanded; headers not focusable).			SENSIBLE	Three steps.	Y	TOOL	Needs a screen reader or accessibility inspector.
SBR-VIS-05	WEAK-KEEP	Subdued-grey legibility; cosmetic.			SENSIBLE	The 2026-08-03 repair replaced "measure the contrast ratio" with a by-eye check and named the owner of the figure - the right pattern.	Y	OK	
SBR-WO-01	KEEP	Where the Sales Representative selector appears and, importantly, where it must NOT (imported WO, History mode).			SENSIBLE	Four steps, one per surface.	Y	OK	
SBR-WO-02	KEEP	Only toggle-on staff are offered as reps - the eligibility gate for crediting revenue.			SENSIBLE	Three steps; the note gives the exact settings path.	Y	OK	
SBR-WO-03	KEEP	Unassigned at creation plus save-on-change persistence with no explicit Save.			SENSIBLE	Three steps including a navigate-away-and-return.	Y	OK	
SBR-WO-04	KEEP	The selector is read-only once Invoiced or Paid, with the Rule-24 tester note already present.			SENSIBLE	Expected 4 is a textbook Rule-24 line: FE-blocked, API-possible, mark PASSED.	Y	OK	
SBR-WO-05	KEEP	The credit-snapshot chain (WO rep, else customer rep, else unassigned) and the no-retroactive-change rule - the single most important behaviour in this report.			SENSIBLE	Three seeded setups plus the retroactive probe.	Y	OK	
SBR-WO-06	KEEP	Customer-record label, the Unassigned rendering, and an inactive bound rep still displayed but not re-selectable.			SENSIBLE	Three steps.	Y	OK	
TU-API-01	KEEP	Per-day rows fetched only on expand - a real scale contract.			SENSIBLE	Three steps.	Y	TECHNICAL	Network panel; API section.
TU-API-02	KEEP	Which changes hit the server and which are on-screen only - four assertions that pin the whole interaction model.			SENSIBLE	Four steps.	Y	TECHNICAL	Network panel; API section.
TU-COL-01	KEEP	Column selector anatomy, defaults, the Technician always-on rule, the Location carve-out, order stability and persistence - one case where the suite could have written eight.			SENSIBLE	Eight assertions, seven steps; expected 2's exact wording is honestly left as build-confirmed.	Y	TOOL	Step 2 needs an accessibility inspector or screen reader.
TU-DAY-01	KEEP	The expand control's action-scoped accessible name plus keyboard operability and state exposure; it found the missing aria-expanded.			SENSIBLE	The 2026-07-29 repair removed angle-bracket placeholders that TestRail had swallowed as HTML - a real correction.	Y	TOOL	Needs an accessibility inspector or screen reader.
TU-DAY-02	KEEP	One row per clocked day, in date order, loaded on expand, with per-day pooling across locations and no row for an unclocked day.			SENSIBLE	The 2026-08-03 repair is the model Rule-4 fix: devtools removed from a UI section, the network assertion left where it belongs in TU-API-01, and expected 5 tells the tester plainly that no tools are needed.	Y	OK	
TU-DAY-03	KEEP	Day rows mirror the technician-row columns and formats, including their own per-location Est. Lost Labor valuation.			SENSIBLE	Three steps.	Y	OK	
TU-DAY-04	KEEP	The expand-all control's location (header row, not the toolbar) plus its deliberately asymmetric semantics and accessible name.			SENSIBLE	Step 3's collapse-one-then-activate is what proves the asymmetry.	Y	TOOL	The accessible-name half needs an inspector.
TU-DAY-05	KEEP	Expansion is view-only state - and crucially an on-screen filter change must NOT disturb it, unlike a reload.			SENSIBLE	Three steps drawing the distinction.	Y	OK	
TU-ELL-01	KEEP	Per-location rate valuation summed at full precision and rounded once - this report's central money contract, with a known build-delta flagged.			SENSIBLE	Step 1 prescribes the hand computation including the rounding order.	Y	OK	Needs two rated locations with different rates.
TU-ELL-02	KEEP	Pinned bold column, the verbatim info-icon text on hover/focus/tap, no icon on any other header, and hideability.			SENSIBLE	Four steps; the known build-delta on the tooltip wording is flagged.	Y	OK	
