IV-EXP-06	KEEP	Server-side full-filtered-set export contract - a failure means customers export the wrong numbers.			SENSIBLE	Step 1 pins the discriminating condition (from page 1, without visiting later pages).	Y	OK	
IV-EXP-07	KEEP	The polite over-cap refusal, with its verbatim message - the negative half of the export contract.			SENSIBLE	Expected 4 carries the honest tester note that the cap is unreachable on this estate and distinguishes it from the timeout.	Y	OK	
IV-EXP-09	KEEP	Verbatim success and failure notification strings for both formats, including the deliberate case difference.			SENSIBLE	Precondition 3 gives a concrete way to force the failure (disconnect the network).	Y	OK	
IV-EXP-10	KEEP	Only case covering the ~30 s PDF timeout; distinct from IV-EXP-07 (cap message) and IV-EXP-09 (notification strings).			FIX-WORDING	The expected result makes the DEFECT the pass condition: "On the whole list the PDF does not download. After roughly half a minute a plain error appears". On a fixed build a tester must mark this FAILED for correct behaviour. Restate the expected as the correct behaviour (a PDF, or the polite cap message) and carry the observed failure as a known-defect note citing the ticket.	Y	OK	
IV-FLT-01	KEEP	The two multi-select filters and their server-side narrowing.			SENSIBLE	Labels verbatim; three steps.	Y	OK	
IV-FLT-02	KEEP	Server-side scope plus the return-to-first-page contract on every change.			FIX-WORDING	Step 1 and expected 1 assume pages ("where the list starts"); the build has no page controls and loads on scroll (its own sibling IV-NAV-05 says so). Reword to "the list jumps back to the top of the new set".	Y	OK	
IV-FLT-03	WEAK-KEEP	The cleared-filter reset is real but is the null case of IV-FLT-01/IV-FLT-04; kept because "clear" is where filter bugs hide.			SENSIBLE	Three clear steps.	Y	OK	
IV-FLT-04	KEEP	Search semantics contract: page-local field, part-number OR description, case-insensitive, server-side, no-match state.			SENSIBLE	Step 1 explicitly distinguishes the report toolbar from the global search bar.	Y	OK	
IV-FLT-05	KEEP	AND-combination contract across five filters plus the totals tracking.			SENSIBLE	Incremental steps with a check after each.	Y	OK	
IV-LOC-01	KEEP	Location control contract (label, position, multi-select, All locations toggle, first-visit default, per-row identification).			SENSIBLE	Item 3 is honestly hedged as build-confirmed rather than inventing a label.	Y	OK	
IV-LOC-02	KEEP	Rescoping behaviour plus the on-screen scope indicator Chris Ward added 2026-07-29.			SENSIBLE	Item 3 hedged. The build refutes item 3; ours follows the newest PO source, so the case stands and the build is the deviation (Rule 33).	Y	OK	
IV-LOC-03	KEEP	Negative: an inaccessible location can never enter scope - a tenant-safety contract.			SENSIBLE	Two steps, concrete.	Y	OK	
IV-LOC-04	KEEP	PO-ruled hidden-filter behaviour for a one-location user; the build refutes it, so this case is earning its keep right now.			SENSIBLE	Precondition 1 tells the tester to create the single-location user and clean up.	Y	OK	
IV-LOC-06	KEEP	Location column position, the never-Multiple invariant, and the export surface of the same requirement (Rule 40).			FIX-WORDING	Expected 4 ("its visibility follows that toggle, not the location selection") is the same mechanism claim the build refutes as IV-COL-01 expected 4; align both together. Expected 6 (filter keeps the same width) is cosmetic filler inside an otherwise load-bearing case - drop or split it.	Y	OK	
IV-NAV-01	KEEP	Navigation placement and the single-permission gate.			SENSIBLE	Three steps; group label hedged as VIU-confirm.	Y	OK	
IV-NAV-02	KEEP	The row model (one row per in-stock part per selected location) valued at the resolved date.			SENSIBLE	Clear.	Y	OK	
