SBR-EXP-06	KEEP	Footer on every page, the default-logo fallback and the two deterministic PDF filenames.			SENSIBLE	Closed filenames and footer string version-pinned to SBR v15 S14-R11/S14-R4 - Rule 42 satisfied. LEDGER FLAG: the VIU recorded PASS while its own observation reads "sales-by-representative-<variant>-<range>.pdf" - a range token the case's "named exactly" forbids. That is a DEVIATION, not a pass.	Y	OK	
SBR-EXP-07	KEEP	Accounting parentheses in the PDF surface plus the no-(N)-count and the (Inactive) tag - the export half of a formatter contract (Rule 40).			SENSIBLE	Three steps.	Y	OK	No negative money value and no inactive rep exist on this org.
SBR-EXP-08	WEAK-KEEP	PDF font step-down tiers; cosmetic and inspector-dependent, though the no-overflow guarantee is worth something.			SENSIBLE	The 2026-07-28 repair made the relative step-down the pass criterion and moved the px tiers into the notes.	Y	TOOL	Exact sizes need a PDF inspector; the case says so.
SBR-EXP-10	KEEP	Summary CSV file name, BOM, closed header list, row model and the distinct-customer de-duplication rule.			SENSIBLE	Scope-conditioned and version-pinned, and the refs disclose that the spec's own header list lags S14-R20 - Rule 42 satisfied.	Y	OK	
SBR-EXP-11	KEEP	Expanded CSV file name, BOM, closed header list and the one-row-per-invoice model, with the three-hours-columns build-delta flagged.			SENSIBLE	Scope-conditioned and version-pinned.	Y	OK	
SBR-EXP-12	KEEP	CSV cell formatting: plain re-pivotable numbers, signed hours, empty undefined percentage, and the (Inactive) tag in the name.			SENSIBLE	Step 1 insists on a text editor rather than a spreadsheet, which is what makes the check valid.	Y	OK	
SBR-EXP-13	KEEP	The Unassigned row in all four downloads, in both toggle states - eight observations that would otherwise need eight cases.			SENSIBLE	Four steps.	Y	OK	
SBR-EXP-14	KEEP	Download-failure toast with its verbatim shipped wording plus the never-a-malformed-file guarantee.			SENSIBLE	The known typo is marked do-not-correct.	Y	TOOL	Needs a way to cut the network mid-download.
SBR-EXP-15	KEEP	Over-cap pre-generation refusal with the PO-ruled single message; the build returns HTTP 500 instead, so this case is load-bearing.			SENSIBLE	The refs explicitly record that the asserted string deliberately differs from the SBR spec's own stale wording, citing Chris Ward's Q2 ruling - exactly the provenance Rule 25 wants.	Y	OK	
SBR-EXP-16	KEEP	Empty-data exports still generate, with the zeroed Summary totals row; the build omits the totals row, so this case is doing real work.			SENSIBLE	Two steps across four files.	Y	OK	
SBR-LINK-01	KEEP	Both link kinds navigate in the current tab to the right destination - and the customer name IS a link here, deliberately unlike SBC.			SENSIBLE	Three steps; the note names the deliberate cross-report difference.	Y	OK	
SBR-LINK-03	KEEP	Back from a drilldown restores expansion and scroll without a reload - deliberately different from a page reload, which does not.			SENSIBLE	Three steps; expected 3 states the contrast explicitly.	Y	OK	
SBR-LINK-04	WEAK-KEEP	Link colour, underline and focus treatment; cosmetic, though the visible focus indicator is an accessibility point.			SENSIBLE	Three steps across both modes.	Y	OK	
SBR-LINK-05	WEAK-KEEP	Unavailable destination degrades to the app's standard not-found state; a near-duplicate of SBC-LINK-04 (C30141) across reports, and largely framework behaviour.			SENSIBLE	Two steps, the second hedged.	Y	OK	
SBR-LOC-01	WEAK-KEEP	Location filter anatomy; largely subsumed by SBR-LOC-03 and SBR-LOC-05.			SENSIBLE	Two steps.	Y	OK	
SBR-LOC-03	KEEP	Location cascade through every metric plus the inaccessible-location exclusion - a tenant-safety contract.			SENSIBLE	Four steps over a deliberately-shaped three-location setup.	Y	OK	
SBR-LOC-04	KEEP	PO-ruled hidden Location filter for a one-location user; the build refutes it.			SENSIBLE	Two steps.	Y	OK	
SBR-LOC-05	KEEP	Location column position, Multiple on spanning rep rows, exact on invoice rows, the Unassigned row rule, Subtotal still rightmost, and all four exports.			FIX-WORDING	Expected 8 is the FOURTH copy of the same cosmetic filter-width assertion (with IV-LOC-06 exp 6, PV-FILT-14 exp 6, SBC-LOC-04 exp 7). Consolidate into one styling case or drop from all four.	Y	OK	
SBR-MOB-01	KEEP	Mobile toolbar operability and the stacking behaviour at the breakpoint.			SENSIBLE	Three steps with a concrete width.	Y	OK	
SBR-MOB-02	KEEP	Mobile horizontal scroll with the pinned Subtotal plus the external totals bar outside the scroll container.			SENSIBLE	Three steps. The VIU note misread expected 1 as claiming Subtotal sits outside the table - it does not; expected 2 is about the totals bar.	Y	OK	
SBR-MOB-03	KEEP	Minimum touch-target size and no hover-only tooltips on touch - it found a real accessibility gap (8 of 10 controls undersized).			SENSIBLE	Step 1 names the measuring tool.	Y	TOOL	Inherently needs a ruler/inspector to measure 44x44 - not layman-runnable, but unavoidable for this requirement.
SBR-NAV-01	KEEP	Navigation placement, the full-word label, additive placement, and both titles.			SENSIBLE	The 2026-07-28 repair points the additive check at production or a prior build, which is the only way a cold tester can make it.	Y	OK	
SBR-NAV-03	WEAK-KEEP	The long label must not truncate; cosmetic, though it is the specified fix for a known layout problem.			SENSIBLE	Two steps.	Y	OK	
SBR-PERM-01	KEEP	Group-level visibility of the entry.			SENSIBLE	One step. METADATA CONTRADICTION: the note says "Unlike SBC (dedicated per-report permission), SBR is gated at the Performance-group level" - stale against Chris Ward's Q1/Q2 one-permission ruling, which SBC-PERM-01/SBC-PERM-05 now assert. Notes are not pushed to TestRail, so no tester sees it, but the internal record contradicts the ruling and should be corrected.	Y	OK	
SBR-PERM-02	KEEP	No reports access blocks navigation, the report, its export menu AND the Export dialog - three surfaces in one negative.			SENSIBLE	Three steps.	Y	OK	
SBR-PERM-03	WEAK-KEEP	Staff-administration gating; this is the app's own staff-admin permission rather than anything this report owns - close to testing the framework.			SENSIBLE	One step.	Y	OK	
SBR-PERS-01	KEEP	Seven settings restored BEFORE the first fetch - the no-double-fetch contract.			SENSIBLE	Three steps.	Y	OK	
SBR-PERS-02	KEEP	Expansion and scroll deliberately not remembered on reload - prevents a false bug report, and pairs with SBR-LINK-03's opposite behaviour on back.			SENSIBLE	Two steps.	Y	OK	
SBR-PERS-03	KEEP	Stale saved value falls back without erroring or sending an invalid request.			SENSIBLE	The note says to record what could not be provoked.	Y	OK	Needs an admin to remove a location assignment.
SBR-PERS-04	KEEP	All eight first-visit defaults plus the explicit no-server-side-profile assertion.			SENSIBLE	One step after clearing storage.	Y	OK	
